epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9850550293922424,0.27308812737464905,0.11446335166692734,0.06000657379627228,0.05204465612769127,0.08441220968961716,0.001,0.3822810649871826,0.9811385869979858,0.9793744087219238,0.9959421753883362,0.9862614274024963,0.28702184557914734,0.11196725070476532,0.052230339497327805,0.054505232721567154,0.05991194769740105,0.4100000262260437,0.98697429895401,0.9862154722213745,0.9956621527671814
1,0.9870643019676208,0.2908191680908203,0.16915470361709595,0.08398028463125229,0.09087005257606506,0.05470648407936096,0.001,0.3993947207927704,0.9889611601829529,0.9845625758171082,0.9963285326957703,0.9862595200538635,0.28555238246917725,0.1432694047689438,0.06501234322786331,0.0655602514743805,0.05644780769944191,0.37678971886634827,0.986344039440155,0.9862516522407532,0.9954487681388855
2,0.9868021607398987,0.2931784391403198,0.2009359896183014,0.07525160163640976,0.08170881122350693,0.051405731588602066,0.001,0.4058462381362915,0.9886131882667542,0.9859139919281006,0.9962142705917358,0.986259400844574,0.2993035316467285,0.18187770247459412,0.049393948167562485,0.05485699325799942,0.0553586445748806,0.5665494799613953,0.987135648727417,0.9862410426139832,0.9957161545753479
3,0.98734050989151,0.31212007999420166,0.2687324583530426,0.09486078470945358,0.10965345054864883,0.04573150724172592,0.001,0.45268967747688293,0.9904778003692627,0.985805332660675,0.9968404173851013,0.9871577024459839,0.3220215141773224,0.31390616297721863,0.11662963777780533,0.14399594068527222,0.04262856766581535,0.41172534227371216,0.9910922646522522,0.9854037165641785,0.9970460534095764
4,0.9884963035583496,0.322069376707077,0.3079470694065094,0.1087995395064354,0.12485536932945251,0.043440092355012894,0.001,0.4504190683364868,0.9918467998504639,0.985751211643219,0.9972962737083435,0.9885068535804749,0.35184988379478455,0.379917711019516,0.13282406330108643,0.1507105678319931,0.04296380653977394,0.5983014702796936,0.9920531511306763,0.9853512048721313,0.9973682761192322
5,0.9886109232902527,0.34083086252212524,0.3679390549659729,0.13185633718967438,0.14008668065071106,0.04217710345983505,0.001,0.5031797885894775,0.9920265674591064,0.9857403635978699,0.9973568916320801,0.98851478099823,0.3466995060443878,0.3703925311565399,0.14267803728580475,0.13624240458011627,0.03998871520161629,0.5021332502365112,0.9907389283180237,0.9869995713233948,0.9969250559806824
6,0.9890836477279663,0.3488311469554901,0.38044100999832153,0.1601688414812088,0.15680401027202606,0.03930538520216942,0.001,0.4898824691772461,0.9923909306526184,0.9863638281822205,0.9974786639213562,0.9889717102050781,0.35952627658843994,0.4171869456768036,0.18121832609176636,0.1640726923942566,0.037261154502630234,0.46987828612327576,0.9923919439315796,0.9863755702972412,0.9974780678749084
7,0.9887815117835999,0.34831157326698303,0.3763982355594635,0.15705737471580505,0.15838506817817688,0.03963253274559975,0.001,0.5029066801071167,0.9923138618469238,0.9861983060836792,0.9974538087844849,0.9890480637550354,0.36115753650665283,0.44301363825798035,0.22441533207893372,0.1971554160118103,0.0370575413107872,0.45180246233940125,0.9928522109985352,0.9862086772918701,0.9976341724395752
8,0.9886673092842102,0.34046635031700134,0.3511921763420105,0.15778276324272156,0.13365408778190613,0.04068669304251671,0.001,0.4778434634208679,0.9917385578155518,0.9863660931587219,0.9972600340843201,0.9889219999313354,0.35470592975616455,0.4606145918369293,0.17954815924167633,0.1503526121377945,0.038554538041353226,0.46901023387908936,0.9927143454551697,0.9857719540596008,0.9975895285606384
9,0.989125669002533,0.3436143100261688,0.3667268455028534,0.16427217423915863,0.13389818370342255,0.0386633537709713,0.001,0.5047497749328613,0.9924847483634949,0.9865827560424805,0.9975100755691528,0.9889345765113831,0.36191272735595703,0.40244680643081665,0.22181548178195953,0.18919634819030762,0.035910602658987045,0.48763909935951233,0.9932634234428406,0.9855630993843079,0.9977712035179138
