epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9841779470443726,0.2698592245578766,0.11636311560869217,0.04750056937336922,0.05214894562959671,0.08230965584516525,0.001,0.5843562483787537,0.9841442108154297,0.9776175022125244,0.9958299994468689,0.9832578897476196,0.29327911138534546,0.2288474291563034,0.08266252279281616,0.094807930290699,0.05731906741857529,0.7246381044387817,0.9874573349952698,0.9807384014129639,0.9958552122116089
1,0.9865755438804626,0.2934456467628479,0.18321993947029114,0.10243463516235352,0.08492996543645859,0.055009618401527405,0.001,0.590552806854248,0.9882779717445374,0.9848523736000061,0.9961003661155701,0.9861450791358948,0.3219048082828522,0.30164605379104614,0.17917947471141815,0.1029122993350029,0.046994540840387344,0.47085243463516235,0.9888898730278015,0.9846643805503845,0.9963138103485107
2,0.9880222678184509,0.3371851146221161,0.25757071375846863,0.2634933590888977,0.13353726267814636,0.042048852890729904,0.001,0.5896282196044922,0.9912946820259094,0.9858929514884949,0.9971104860305786,0.986220121383667,0.336343377828598,0.26133623719215393,0.11654069274663925,0.14444400370121002,0.04481816291809082,0.45821669697761536,0.988715410232544,0.986152708530426,0.9962494373321533
3,0.9880586862564087,0.3605141341686249,0.3427838683128357,0.2901638448238373,0.16107067465782166,0.04075847938656807,0.001,0.5351777672767639,0.9921261668205261,0.9848065972328186,0.9973922967910767,0.9882729649543762,0.3310020864009857,0.3525630533695221,0.30016520619392395,0.2015157788991928,0.054083239287137985,0.37681934237480164,0.9943487048149109,0.9819612503051758,0.9981391429901123
4,0.9902189373970032,0.4059067666530609,0.3914235532283783,0.4367249608039856,0.21755129098892212,0.032839398831129074,0.001,0.6680192947387695,0.9934161305427551,0.9874434471130371,0.9978181719779968,0.9908386468887329,0.4440564513206482,0.5014515519142151,0.48577234148979187,0.2779790163040161,0.028896065428853035,0.825768768787384,0.9943081736564636,0.9878542423248291,0.9981160163879395
5,0.9914379715919495,0.43747201561927795,0.46224644780158997,0.5021601915359497,0.20867277681827545,0.028726158663630486,0.001,0.6106241941452026,0.9937201142311096,0.9895225763320923,0.9979161620140076,0.9903861880302429,0.4552609622478485,0.41207051277160645,0.5856263637542725,0.2056027203798294,0.03043331205844879,0.41628921031951904,0.9926888942718506,0.9888014197349548,0.997573733329773
6,0.991092324256897,0.4636766016483307,0.5025857090950012,0.5629941821098328,0.24177294969558716,0.02887049689888954,0.001,0.505634069442749,0.9935822486877441,0.9890644550323486,0.9978718161582947,0.9912083148956299,0.4699263274669647,0.5607609152793884,0.60152268409729,0.3482789993286133,0.030996667221188545,0.38360050320625305,0.9941613078117371,0.988709032535553,0.9980666637420654
7,0.9920598268508911,0.47774389386177063,0.5172927975654602,0.5705054998397827,0.26690879464149475,0.025947263464331627,0.001,0.5711088180541992,0.9942153096199036,0.9903174638748169,0.9980805516242981,0.9926065802574158,0.5153673887252808,0.6323577761650085,0.6041204929351807,0.2948087751865387,0.023524533957242966,0.41875678300857544,0.9941047430038452,0.9914930462837219,0.9980409145355225
8,0.9923914670944214,0.5033233761787415,0.5493483543395996,0.6194765567779541,0.2971359193325043,0.02414551191031933,0.001,0.5727789402008057,0.9942929148674011,0.9909145832061768,0.9981055855751038,0.9927759766578674,0.5352581143379211,0.6434726715087891,0.6320081353187561,0.36387500166893005,0.022708557546138763,0.46496477723121643,0.9947066307067871,0.9912844300270081,0.9982423186302185
9,0.9929308295249939,0.52154940366745,0.5806262493133545,0.6411956548690796,0.3246978521347046,0.022090526297688484,0.001,0.6667670011520386,0.9946684837341309,0.9915353655815125,0.998229444026947,0.9929482936859131,0.5433858036994934,0.6579557657241821,0.6802317500114441,0.3014008104801178,0.02190195769071579,0.7461744546890259,0.9944707751274109,0.9917938709259033,0.9981628656387329
10,0.9936428070068359,0.5446661114692688,0.6064378619194031,0.6806803941726685,0.3343331813812256,0.019431158900260925,0.001,0.661201000213623,0.9951700568199158,0.9924863576889038,0.9983955025672913,0.9932655096054077,0.557934582233429,0.68570876121521,0.6274698376655579,0.2885192036628723,0.020903844386339188,0.8062050342559814,0.9944079518318176,0.992448091506958,0.9981403350830078
11,0.9938292503356934,0.5591028928756714,0.6295823454856873,0.6968063116073608,0.36538752913475037,0.019655097275972366,0.001,0.708914577960968,0.9953213334083557,0.9926665425300598,0.9984457492828369,0.9932706356048584,0.5472124218940735,0.6477019786834717,0.6223925352096558,0.3585275411605835,0.0212824959307909,0.6118308305740356,0.9950124621391296,0.9919329285621643,0.9983436465263367
12,0.9940869212150574,0.5789583921432495,0.667389452457428,0.7114530205726624,0.3852546811103821,0.018039103597402573,0.001,0.7248637676239014,0.9954845309257507,0.9929818511009216,0.9984997510910034,0.9938440918922424,0.5794334411621094,0.7052697539329529,0.6652087569236755,0.376834899187088,0.018529407680034637,0.7897124886512756,0.9953886270523071,0.9926561713218689,0.9984679818153381
13,0.9939236640930176,0.5686190128326416,0.6544539332389832,0.6737257242202759,0.3979886770248413,0.018566180020570755,0.001,0.7579602599143982,0.9955472946166992,0.992650032043457,0.9985219240188599,0.9935779571533203,0.5841727256774902,0.6906344890594482,0.6244723796844482,0.37626537680625916,0.021027129143476486,0.808079719543457,0.9946975111961365,0.9927771687507629,0.9982364773750305
14,0.9934996366500854,0.5524598360061646,0.6204327344894409,0.666254997253418,0.382990300655365,0.020638903602957726,0.001,0.7353373765945435,0.9950940012931824,0.9922377467155457,0.9983709454536438,0.9935173392295837,0.5741329789161682,0.6611067652702332,0.6913661956787109,0.4502905607223511,0.020696032792329788,0.774155855178833,0.9956717491149902,0.9915589094161987,0.9985644221305847
15,0.9942643046379089,0.5775085687637329,0.6480154395103455,0.6841211915016174,0.41756656765937805,0.017840856686234474,0.001,0.760390043258667,0.9956984519958496,0.9931033253669739,0.9985708594322205,0.9942742586135864,0.6100391149520874,0.7068164944648743,0.6905295848846436,0.46486592292785645,0.018100686371326447,0.8061734437942505,0.995608389377594,0.9932576417922974,0.9985401034355164
16,0.9942020773887634,0.5933858156204224,0.6641281247138977,0.7170059680938721,0.4438363015651703,0.01795181818306446,0.001,0.7532864809036255,0.995669960975647,0.9930813312530518,0.9985617995262146,0.9944811463356018,0.6229566335678101,0.7114949226379395,0.6768332123756409,0.4789188504219055,0.018003975972533226,0.8285653591156006,0.9956957101821899,0.9935842752456665,0.9985690116882324
17,0.9950500726699829,0.6017777323722839,0.7000993490219116,0.7184286117553711,0.4120582640171051,0.015628796070814133,0.001,0.7961450815200806,0.996201753616333,0.9941144585609436,0.9987378120422363,0.9942580461502075,0.620453417301178,0.6851971745491028,0.7133129835128784,0.44152310490608215,0.018700283020734787,0.826401948928833,0.9953613877296448,0.9934278130531311,0.9984577298164368
18,0.9950194358825684,0.6129452586174011,0.6998846530914307,0.731770396232605,0.4490426778793335,0.015473049134016037,0.001,0.7743644714355469,0.9962430000305176,0.9940627217292786,0.9987514019012451,0.9876497387886047,0.5426216721534729,0.6232330203056335,0.6517971754074097,0.3295297920703888,0.03497126325964928,0.7576854228973389,0.9896678328514099,0.9859029650688171,0.9965771436691284
19,0.9946353435516357,0.6154270172119141,0.7068485617637634,0.718798816204071,0.47042718529701233,0.016484538093209267,0.001,0.7135056257247925,0.9960223436355591,0.9935336112976074,0.9986788034439087,0.9942324757575989,0.6036192774772644,0.6803897023200989,0.6749590039253235,0.46325016021728516,0.01792692393064499,0.8239457011222839,0.9956291913986206,0.9931363463401794,0.9985476732254028
20,0.9945910573005676,0.6004452705383301,0.6846581101417542,0.7149945497512817,0.4324415624141693,0.017168646678328514,0.001,0.7495682239532471,0.9958834052085876,0.9935442209243774,0.9986320734024048,0.9936472773551941,0.6049988269805908,0.6501271724700928,0.6902251243591309,0.4421027600765228,0.020557930693030357,0.6368246078491211,0.9947493672370911,0.9928167462348938,0.9982542395591736
21,0.9947425127029419,0.6156912446022034,0.7016118168830872,0.7311540246009827,0.4621273875236511,0.016367560252547264,0.001,0.6598007678985596,0.9959577322006226,0.9937720894813538,0.9986566305160522,0.99464350938797,0.6429796814918518,0.7292524576187134,0.7168936729431152,0.4885861575603485,0.01731126569211483,0.7939957976341248,0.9956881403923035,0.9938646554946899,0.9985662698745728
22,0.9950588941574097,0.6264336705207825,0.7127880454063416,0.7523110508918762,0.4647141993045807,0.015218736603856087,0.001,0.7737295627593994,0.9962486624717712,0.994130551815033,0.9987530708312988,0.9942502975463867,0.6080669164657593,0.7167328596115112,0.6624531745910645,0.44254186749458313,0.017738433554768562,0.8117727041244507,0.9955138564109802,0.9933367371559143,0.9985089898109436
23,0.9950978755950928,0.6298437714576721,0.7128554582595825,0.7482113242149353,0.4819270372390747,0.014850432053208351,0.001,0.8033185005187988,0.9963646531105042,0.9940952658653259,0.9987922310829163,0.9946837425231934,0.6367226243019104,0.7294124960899353,0.6883084177970886,0.4827050566673279,0.017271339893341064,0.846858024597168,0.9957906603813171,0.9938554167747498,0.9986001253128052
24,0.9948367476463318,0.617144763469696,0.6909526586532593,0.7394932508468628,0.47572535276412964,0.01593872532248497,0.001,0.777544379234314,0.9962159395217896,0.9937610626220703,0.9987434148788452,0.9943233728408813,0.6079715490341187,0.7245339155197144,0.7259984016418457,0.46676382422447205,0.017401328310370445,0.40519005060195923,0.9960618019104004,0.9928627014160156,0.9986926317214966
25,0.9948557615280151,0.6145572662353516,0.6873891353607178,0.7221705317497253,0.4822385013103485,0.01604263298213482,0.001,0.6686912775039673,0.9962356686592102,0.9937503933906555,0.9987496137619019,0.9947957396507263,0.6459115743637085,0.7252354025840759,0.7359365820884705,0.49910831451416016,0.01599300093948841,0.7746201157569885,0.9959688782691956,0.9939048886299133,0.9986600279808044
26,0.9952447414398193,0.6444353461265564,0.7207094430923462,0.7622494101524353,0.5139402151107788,0.014083812944591045,0.001,0.8194949626922607,0.9965285062789917,0.9942415356636047,0.9988464117050171,0.9950031638145447,0.6608532071113586,0.7486969232559204,0.7437310814857483,0.5079310536384583,0.015660740435123444,0.85383540391922,0.9961073994636536,0.9941719770431519,0.9987059831619263
27,0.9955169558525085,0.6602680087089539,0.7480068206787109,0.783622145652771,0.5146742463111877,0.013362083584070206,0.001,0.8041207790374756,0.996669590473175,0.9946107864379883,0.998893141746521,0.9949893951416016,0.6422985196113586,0.7399618625640869,0.7273054122924805,0.49972936511039734,0.015356071293354034,0.8434047698974609,0.9963217377662659,0.993927001953125,0.9987775683403015
28,0.9953213334083557,0.6463666558265686,0.7313597202301025,0.7560343742370605,0.5097808241844177,0.014076732099056244,0.001,0.8145570755004883,0.996508002281189,0.9943825006484985,0.9988394379615784,0.9943747520446777,0.6202951073646545,0.6822532415390015,0.7309882044792175,0.48000824451446533,0.01822006143629551,0.8436803817749023,0.9958354830741882,0.9931286573410034,0.998616635799408
29,0.9950783252716064,0.6539553999900818,0.7392405867576599,0.7799127697944641,0.5111598372459412,0.014718874357640743,0.001,0.8403512835502625,0.9963902831077576,0.994025468826294,0.9988001585006714,0.9949700236320496,0.6365066170692444,0.7383177876472473,0.7222693562507629,0.5225256085395813,0.015656467527151108,0.8023114800453186,0.9963496923446655,0.9938387870788574,0.9987872242927551
