epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u_1,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u_1,val_precision,val_sensitivity,val_specificity
0,0.9815137982368469,0.269057035446167,0.13274842500686646,0.04798752814531326,0.04420960694551468,0.09580432623624802,0.001,0.6262454986572266,0.9805256128311157,0.9699757099151611,0.9956104755401611,0.986556887626648,0.2678200900554657,0.07693957537412643,0.015017461031675339,0.022938530892133713,0.0695941224694252,0.7976728677749634,0.9865468740463257,0.9865584969520569,0.9955147504806519
1,0.9868305325508118,0.2786356210708618,0.14849960803985596,0.08078759908676147,0.05821627750992775,0.057420503348112106,0.001,0.6967336535453796,0.9872738718986511,0.9850834012031555,0.9957592487335205,0.9865565896034241,0.27075567841529846,0.0689157247543335,0.06027325615286827,0.02159908600151539,0.057064488530159,0.723569393157959,0.9865429401397705,0.9865562915802002,0.9955160021781921
2,0.9875964522361755,0.3027116656303406,0.1962110996246338,0.1629764884710312,0.09104230254888535,0.04610326141119003,0.001,0.6710903644561768,0.9887433648109436,0.9866715669631958,0.9962413311004639,0.9868658185005188,0.33853837847709656,0.2791970670223236,0.279184490442276,0.15755927562713623,0.041296735405921936,0.6445978879928589,0.99106764793396,0.9833155870437622,0.997002124786377
3,0.9881045818328857,0.3472205102443695,0.2854543924331665,0.31739571690559387,0.14924009144306183,0.04027464613318443,0.001,0.5504449605941772,0.9908533692359924,0.985792338848114,0.9969127178192139,0.9894912242889404,0.4023979604244232,0.3864955008029938,0.4347127676010132,0.15663738548755646,0.03625648468732834,0.3798689544200897,0.990675151348114,0.9881525635719299,0.9968685507774353
4,0.9884577393531799,0.364531010389328,0.3105736970901489,0.36001309752464294,0.1844262331724167,0.03830688074231148,0.001,0.447293221950531,0.9913040995597839,0.9861282110214233,0.9970710277557373,0.9906224608421326,0.45304983854293823,0.4605245292186737,0.5708531141281128,0.3167928159236908,0.028627049177885056,0.42072901129722595,0.9928049445152283,0.9880735874176025,0.9975453615188599
5,0.990744948387146,0.4406488537788391,0.45058730244636536,0.5425081849098206,0.2680404782295227,0.029010385274887085,0.001,0.5425781607627869,0.9930949807167053,0.9882178902626038,0.9976492524147034,0.9909723401069641,0.43903878331184387,0.5542064309120178,0.5968219637870789,0.24577808380126953,0.030515801161527634,0.6008303165435791,0.9932555556297302,0.9878497123718262,0.9976980686187744
6,0.9881475567817688,0.3522897958755493,0.26900118589401245,0.34312382340431213,0.1439381092786789,0.04538589343428612,0.001,0.4555058479309082,0.9899674654006958,0.9859001636505127,0.9966328144073486,0.9894129633903503,0.4025317132472992,0.4196333885192871,0.48348718881607056,0.2530011236667633,0.03159255161881447,0.3955633342266083,0.993800699710846,0.9847063422203064,0.9978470802307129
7,0.9902368187904358,0.4256660044193268,0.41666653752326965,0.5459798574447632,0.25447091460227966,0.03125118091702461,0.001,0.41543325781822205,0.9927849173545837,0.9873728156089783,0.9975407123565674,0.9917454123497009,0.4822029769420624,0.5524733662605286,0.6636224985122681,0.29657888412475586,0.02612670511007309,0.3958578407764435,0.9937502145767212,0.9891648888587952,0.9978508949279785
8,0.9909440875053406,0.455878347158432,0.4950735867023468,0.5675615668296814,0.2706905007362366,0.02869744971394539,0.001,0.42147964239120483,0.9927718043327332,0.9887107610702515,0.9975439310073853,0.991233766078949,0.4968651533126831,0.5896961688995361,0.66357421875,0.35284778475761414,0.025822801515460014,0.4511759877204895,0.9933587312698364,0.9885833859443665,0.9977244734764099
9,0.9924684762954712,0.49472010135650635,0.5370506644248962,0.6040255427360535,0.37654057145118713,0.023560121655464172,0.001,0.4858408272266388,0.9938115477561951,0.9907543063163757,0.9978993535041809,0.9926815032958984,0.5318780541419983,0.6339911818504333,0.6558359265327454,0.32521694898605347,0.02270566299557686,0.7563080787658691,0.9934359192848206,0.9915381073951721,0.9977847337722778
